outcome,feature_set,model,threshold,precision,recall,f1,accuracy,specificity,TP,FP,TN,FN
high_debt_burden,full,Logistic L1,0.04,0.5437845998993458,0.9800453514739229,0.6994659329988672,0.6509398496240602,0.41797752808988764,2161,1813,1302,44
high_debt_burden,full,Logistic L1,0.05,0.5630890052356021,0.9755102040816327,0.7140248962655603,0.6761278195488721,0.4642054574638844,2151,1669,1446,54
high_debt_burden,full,Logistic L1,0.06,0.5732296137339056,0.9691609977324263,0.7203775493005224,0.6881578947368421,0.4892455858747994,2137,1591,1524,68
high_debt_burden,full,Logistic L1,0.07,0.587603305785124,0.9673469387755103,0.7311053984575836,0.7050751879699249,0.5194221508828251,2133,1497,1618,72
high_debt_burden,full,Logistic L1,0.08,0.60050747110234,0.9659863945578231,0.7406119610570238,0.7195488721804512,0.5451043338683789,2130,1417,1698,75
high_debt_burden,full,Logistic L1,0.09,0.6130334486735871,0.964172335600907,0.7495152476643752,0.7328947368421053,0.5691813804173355,2126,1342,1773,79
high_debt_burden,full,Logistic L1,0.1,0.6220588235294118,0.9591836734693877,0.7546833184656556,0.7415413533834586,0.5874799357945425,2115,1285,1830,90
high_debt_burden,full,Logistic L1,0.11,0.63016157989228,0.9551020408163265,0.7593293672255274,0.7490601503759399,0.6032102728731942,2106,1236,1879,99
high_debt_burden,full,Logistic L1,0.12,0.64,0.9505668934240363,0.7649635036496351,0.7578947368421053,0.6215088282504013,2096,1179,1936,109
high_debt_burden,full,Logistic L1,0.13,0.648975791433892,0.9482993197278912,0.7705914870093974,0.7659774436090225,0.6369181380417336,2091,1131,1984,114
high_debt_burden,full,Logistic L1,0.14,0.6583674755751655,0.9473922902494331,0.7768687244328747,0.7744360902255639,0.6520064205457464,2089,1084,2031,116
high_debt_burden,full,Logistic L1,0.15,0.6643267389917039,0.9442176870748299,0.7799213335830679,0.7791353383458647,0.6622792937399679,2082,1052,2063,123
high_debt_burden,full,Logistic L1,0.16,0.6700997747022852,0.9442176870748299,0.7838855421686747,0.7842105263157895,0.6709470304975923,2082,1025,2090,123
high_debt_burden,full,Logistic L1,0.17,0.6760104302477183,0.9405895691609978,0.7866489664327707,0.7885338345864662,0.6808988764044944,2074,994,2121,131
high_debt_burden,full,Logistic L1,0.18,0.6825396825396826,0.9360544217687075,0.789443488238669,0.7930451127819549,0.6918138041733547,2064,960,2155,141
high_debt_burden,full,Logistic L1,0.19,0.6872702973605078,0.9328798185941043,0.7914582531742977,0.7962406015037594,0.6995184590690209,2057,936,2179,148
high_debt_burden,full,Logistic L1,0.2,0.6953867028493894,0.9297052154195011,0.7956530176596158,0.8020676691729324,0.7117174959871589,2050,898,2217,155
high_debt_burden,full,Logistic L1,0.21,0.7006849315068493,0.927891156462585,0.798439024390244,0.8058270676691729,0.719422150882825,2046,874,2241,159
high_debt_burden,full,Logistic L1,0.22,0.7075537075537075,0.9260770975056689,0.8021999607149872,0.8107142857142857,0.7290529695024077,2042,844,2271,163
high_debt_burden,full,Logistic L1,0.23,0.7128851540616247,0.9233560090702948,0.8045840742936178,0.8140977443609022,0.7367576243980738,2036,820,2295,169
high_debt_burden,full,Logistic L1,0.24,0.7172145634499824,0.9201814058956916,0.8061183949145808,0.8165413533834587,0.7431781701444623,2029,800,2315,176
high_debt_burden,full,Logistic L1,0.25,0.7213699607563325,0.9170068027210885,0.8075079872204475,0.818796992481203,0.7492776886035313,2022,781,2334,183
high_debt_burden,full,Logistic L1,0.26,0.7255043227665706,0.9133786848072563,0.8086729572375025,0.8208646616541353,0.7553772070626004,2014,762,2353,191
high_debt_burden,full,Logistic L1,0.27,0.7299163940385315,0.910657596371882,0.8103309120258273,0.8233082706766918,0.7614767255216693,2008,743,2372,197
high_debt_burden,full,Logistic L1,0.28,0.7339684866251374,0.908390022675737,0.8119173084718282,0.825563909774436,0.7669341894060995,2003,726,2389,202
high_debt_burden,full,Logistic L1,0.29,0.7389855609033691,0.9052154195011338,0.8136975132490827,0.8281954887218045,0.7736757624398074,1996,705,2410,209
high_debt_burden,full,Logistic L1,0.3,0.7437429958909226,0.9029478458049887,0.8156493240475214,0.8308270676691729,0.7797752808988764,1991,686,2429,214
high_debt_burden,full,Logistic L1,0.31,0.7493393733484334,0.9002267573696145,0.8178821590440873,0.8338345864661654,0.7868378812199037,1985,664,2451,220
high_debt_burden,full,Logistic L1,0.32,0.754185692541857,0.8988662131519274,0.8201944961721497,0.8366541353383459,0.7926163723916533,1982,646,2469,223
high_debt_burden,full,Logistic L1,0.33,0.7597078046905037,0.8961451247165533,0.8223054515189346,0.8394736842105263,0.7993579454253612,1976,625,2490,229
high_debt_burden,full,Logistic L1,0.34,0.7631067961165049,0.891156462585034,0.8221757322175732,0.8402255639097744,0.8041733547351525,1965,610,2505,240
high_debt_burden,full,Logistic L1,0.35000000000000003,0.7692610062893082,0.8875283446712018,0.8241735102126764,0.8430451127819549,0.8115569823434992,1957,587,2528,248
high_debt_burden,full,Logistic L1,0.36,0.7741679873217115,0.8861678004535147,0.8263903573694227,0.8456766917293234,0.8170144462279294,1954,570,2545,251
high_debt_burden,full,Logistic L1,0.37,0.777555910543131,0.8829931972789116,0.8269271607559993,0.8468045112781954,0.8211878009630819,1947,557,2558,258
high_debt_burden,full,Logistic L1,0.38,0.782679077296641,0.8770975056689342,0.8272027373823779,0.8481203007518797,0.8276083467094703,1934,537,2578,271
high_debt_burden,full,Logistic L1,0.39,0.7845528455284553,0.8752834467120182,0.827438370846731,0.8486842105263158,0.8298555377207063,1930,530,2585,275
high_debt_burden,full,Logistic L1,0.4,0.7877049180327869,0.871655328798186,0.8275565123789019,0.8494360902255639,0.8337078651685393,1922,518,2597,283
high_debt_burden,full,Logistic L1,0.41000000000000003,0.7902760609806345,0.8698412698412699,0.8281519861830743,0.850375939849624,0.8365971107544141,1918,509,2606,287
high_debt_burden,full,Logistic L1,0.42,0.7946799667497921,0.8671201814058956,0.8293211884623726,0.8520676691729323,0.8414125200642054,1912,494,2621,293
high_debt_burden,full,Logistic L1,0.43,0.7977386934673367,0.8639455782312925,0.829523187459177,0.8528195488721805,0.8449438202247191,1905,483,2632,300
high_debt_burden,full,Logistic L1,0.44,0.8014394580863675,0.8585034013605443,0.8289905846288591,0.8531954887218045,0.849438202247191,1893,469,2646,312
high_debt_burden,full,Logistic L1,0.45,0.8050448909790509,0.8539682539682539,0.8287852112676056,0.8537593984962406,0.8536115569823435,1883,456,2659,322
high_debt_burden,full,Logistic L1,0.46,0.809770860354518,0.8494331065759637,0.8291279327135901,0.8548872180451128,0.8587479935794543,1873,440,2675,332
high_debt_burden,full,Logistic L1,0.47000000000000003,0.8137810728303533,0.8462585034013606,0.8297020898176969,0.856015037593985,0.8629213483146068,1866,427,2688,339
high_debt_burden,full,Logistic L1,0.48,0.8179012345679012,0.8412698412698413,0.8294209702660407,0.8565789473684211,0.8674157303370786,1855,413,2702,350
high_debt_burden,full,Logistic L1,0.49,0.823162583518931,0.8380952380952381,0.830561797752809,0.8582706766917293,0.8725521669341894,1848,397,2718,357
high_debt_burden,full,Logistic L1,0.5,0.8251121076233184,0.8344671201814059,0.8297632468996619,0.8580827067669173,0.8747993579454254,1840,390,2725,365
high_debt_burden,full,Logistic L1,0.51,0.8278355173971984,0.8308390022675737,0.8293345405160706,0.8582706766917293,0.8776886035313002,1832,381,2734,373
high_debt_burden,full,Logistic L1,0.52,0.8296127562642369,0.8258503401360544,0.8277272727272726,0.8575187969924812,0.8799357945425361,1821,374,2741,384
high_debt_burden,full,Logistic L1,0.53,0.8308890925756187,0.8222222222222222,0.8265329382265785,0.8569548872180451,0.8815409309791332,1813,369,2746,392
high_debt_burden,full,Logistic L1,0.54,0.8310249307479224,0.8163265306122449,0.8236101578586135,0.8550751879699248,0.8825040128410915,1800,366,2749,405
high_debt_burden,full,Logistic L1,0.55,0.8333333333333334,0.8140589569160998,0.8235833906859372,0.8554511278195489,0.8847512038523274,1795,359,2756,410
high_debt_burden,full,Logistic L1,0.56,0.8364573570759137,0.8095238095238095,0.8227702235538142,0.8554511278195489,0.8879614767255216,1785,349,2766,420
high_debt_burden,full,Logistic L1,0.5700000000000001,0.8399049881235154,0.8018140589569162,0.8204176334106729,0.8545112781954888,0.8918138041733548,1768,337,2778,437
high_debt_burden,full,Logistic L1,0.58,0.8418782942022042,0.7968253968253968,0.8187325256290773,0.8537593984962406,0.8940609951845907,1757,330,2785,448
high_debt_burden,full,Logistic L1,0.59,0.8441747572815534,0.7886621315192743,0.8154747948417351,0.8520676691729323,0.8969502407704655,1739,321,2794,466
high_debt_burden,full,Logistic L1,0.6,0.8461538461538461,0.7782312925170068,0.810772501771793,0.8494360902255639,0.8998394863563403,1716,312,2803,489
high_debt_burden,full,Logistic L1,0.61,0.8478368970661363,0.7732426303854876,0.8088235294117647,0.8484962406015037,0.9017656500802568,1705,306,2809,500
high_debt_burden,full,Logistic L1,0.62,0.8488196885986942,0.7664399092970522,0.805529075309819,0.8466165413533835,0.903370786516854,1690,301,2814,515
high_debt_burden,full,Logistic L1,0.63,0.8510421962379258,0.7591836734693878,0.8024928092042186,0.8451127819548873,0.9059390048154093,1674,293,2822,531
high_debt_burden,full,Logistic L1,0.64,0.8519280205655527,0.7514739229024944,0.7985542168674699,0.8428571428571429,0.9075441412520064,1657,288,2827,548
high_debt_burden,full,Logistic L1,0.65,0.8540906722251173,0.7433106575963719,0.7948593598448108,0.8409774436090226,0.9101123595505618,1639,280,2835,566
