outcome,feature_set,model,precision,recall,threshold,average_precision
default,app,"Logistic (app, calibrated)",0.030225782957028404,0.9378531073446328,0.007568158470381278,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.030231287561464214,0.9378531073446328,0.00758082497212932,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.030286444079547527,0.9378531073446328,0.007596080502258992,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.030347349177330896,0.9378531073446328,0.007700932553281375,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.03036400219498811,0.9378531073446328,0.007731843558315079,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.030369557263080865,0.9378531073446328,0.00776474585379644,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.030380673499267936,0.9378531073446328,0.007871750011923093,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.03039179787623581,0.9378531073446328,0.0079009594089808,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.0304084997252244,0.9378531073446328,0.007974970490866115,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.0306634454562349,0.9322033898305084,0.007982958385039748,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.03066914498141264,0.9322033898305084,0.008029503936406023,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.030680550390479733,0.9322033898305084,0.00803878379138118,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.030709101060859854,0.9322033898305084,0.008138200791473829,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.030864197530864196,0.9322033898305084,0.00824049513704686,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.030875748502994012,0.9322033898305084,0.008390341652325977,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.030939433714607164,0.9322033898305084,0.008394367929079527,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.03096265715894164,0.9322033898305084,0.008455459716259241,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.03102086858432036,0.9322033898305084,0.008497309196838072,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.031026701767581797,0.9322033898305084,0.008519273016774307,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.031044214487300093,0.9322033898305084,0.008529465426017149,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.03106174698795181,0.9322033898305084,0.008672179751155987,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.031067595556392394,0.9322033898305084,0.008728318414468398,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.031073446327683617,0.9322033898305084,0.008780100002149087,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.031096871466264605,0.9322033898305084,0.008784126278902637,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.031108597285067874,0.9322033898305084,0.008791435066466976,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.03130368390914297,0.9265536723163842,0.008828058117054085,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.031309660175639555,0.9265536723163842,0.008835704370415969,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.03144171779141104,0.9265536723163842,0.008932022798456129,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.03144774688398849,0.9265536723163842,0.008966952086397726,0.053875242477803995
