outcome,feature_set,model,threshold,precision,recall,f1,accuracy,specificity,TP,FP,TN,FN
high_debt_burden,app,"Logistic (app, calibrated)",0.54,0.5948339483394834,0.3655328798185941,0.45280898876404496,0.6338345864661654,0.8237560192616372,806,549,2566,1399
high_debt_burden,app,"Logistic (app, calibrated)",0.55,0.5961844197138315,0.3401360544217687,0.4331504475887959,0.6310150375939849,0.8369181380417335,750,508,2607,1455
high_debt_burden,app,"Logistic (app, calibrated)",0.56,0.5966101694915255,0.31927437641723355,0.4159527326440177,0.6283834586466165,0.8471910112359551,704,476,2639,1501
high_debt_burden,app,"Logistic (app, calibrated)",0.5700000000000001,0.603578154425612,0.29070294784580497,0.3924089378634833,0.6268796992481203,0.8648475120385233,641,421,2694,1564
high_debt_burden,app,"Logistic (app, calibrated)",0.58,0.6133190118152524,0.2589569160997732,0.3641581632653061,0.6251879699248121,0.884430176565008,571,360,2755,1634
high_debt_burden,app,"Logistic (app, calibrated)",0.59,0.61437125748503,0.23265306122448978,0.3375,0.6214285714285714,0.8966292134831461,513,322,2793,1692
high_debt_burden,app,"Logistic (app, calibrated)",0.6,0.5942249240121581,0.17732426303854876,0.27314006287111425,0.6088345864661654,0.9142857142857143,391,267,2848,1814
high_debt_burden,app,"Logistic (app, calibrated)",0.61,0.5885608856088561,0.14467120181405896,0.23225336730979254,0.6035714285714285,0.9284109149277688,319,223,2892,1886
high_debt_burden,app,"Logistic (app, calibrated)",0.62,0.5837209302325581,0.11383219954648525,0.19051233396584438,0.5990601503759398,0.9425361155698234,251,179,2936,1954
high_debt_burden,app,"Logistic (app, calibrated)",0.63,0.5702702702702702,0.09569160997732426,0.16388349514563105,0.5953007518796992,0.9489566613162119,211,159,2956,1994
high_debt_burden,app,"Logistic (app, calibrated)",0.64,0.547945205479452,0.05442176870748299,0.09900990099009901,0.5894736842105263,0.9682182985553772,120,99,3016,2085
high_debt_burden,app,"Logistic (app, calibrated)",0.65,0.5604395604395604,0.04625850340136054,0.0854629241726016,0.5896616541353383,0.9743178170144462,102,80,3035,2103
