outcome,feature_set,model,fpr,tpr,threshold,auc
high_debt_burden,app,"Logistic (app, calibrated)",0.0478330658105939,0.08934240362811792,0.6315394700153115,0.6700771994190935
high_debt_burden,app,"Logistic (app, calibrated)",0.051043338683788124,0.09523809523809523,0.6314745179326289,0.6700771994190935
high_debt_burden,app,"Logistic (app, calibrated)",0.051043338683788124,0.09569160997732426,0.6309173669467787,0.6700771994190935
high_debt_burden,app,"Logistic (app, calibrated)",0.051364365971107544,0.09614512471655329,0.629731711879058,0.6700771994190935
high_debt_burden,app,"Logistic (app, calibrated)",0.051364365971107544,0.09659863945578231,0.6296051861604857,0.6700771994190935
high_debt_burden,app,"Logistic (app, calibrated)",0.051685393258426963,0.09705215419501134,0.629582948276181,0.6700771994190935
high_debt_burden,app,"Logistic (app, calibrated)",0.051685393258426963,0.09750566893424037,0.6291633220119653,0.6700771994190935
high_debt_burden,app,"Logistic (app, calibrated)",0.05232744783306581,0.09750566893424037,0.6287881926964334,0.6700771994190935
high_debt_burden,app,"Logistic (app, calibrated)",0.05232744783306581,0.09886621315192744,0.6285235695073227,0.6700771994190935
high_debt_burden,app,"Logistic (app, calibrated)",0.05264847512038523,0.09931972789115646,0.6282311195399768,0.6700771994190935
high_debt_burden,app,"Logistic (app, calibrated)",0.05264847512038523,0.09977324263038549,0.6271338082969704,0.6700771994190935
high_debt_burden,app,"Logistic (app, calibrated)",0.052969502407704656,0.10022675736961452,0.6270540327574268,0.6700771994190935
high_debt_burden,app,"Logistic (app, calibrated)",0.052969502407704656,0.10158730158730159,0.6256163616442126,0.6700771994190935
high_debt_burden,app,"Logistic (app, calibrated)",0.053290529695024076,0.10158730158730159,0.6253112267038559,0.6700771994190935
high_debt_burden,app,"Logistic (app, calibrated)",0.05393258426966292,0.10294784580498866,0.6248381236260826,0.6700771994190935
high_debt_burden,app,"Logistic (app, calibrated)",0.05393258426966292,0.10340136054421768,0.6242277107129324,0.6700771994190935
high_debt_burden,app,"Logistic (app, calibrated)",0.05425361155698234,0.10385487528344671,0.6238106343647746,0.6700771994190935
high_debt_burden,app,"Logistic (app, calibrated)",0.05425361155698234,0.10430839002267574,0.622959460819441,0.6700771994190935
high_debt_burden,app,"Logistic (app, calibrated)",0.05682182985553772,0.11337868480725624,0.6213311062129769,0.6700771994190935
high_debt_burden,app,"Logistic (app, calibrated)",0.05714285714285714,0.11383219954648525,0.6205384856422341,0.6700771994190935
high_debt_burden,app,"Logistic (app, calibrated)",0.05746388443017657,0.11383219954648525,0.6202766975732974,0.6700771994190935
